id,label_en,label_es,node_type,node_subtype,parent_event,sequence_value,year_start,year_end,mapped,longitude,latitude,country,source_location,target_location,directed_location,source_other,target_other,directed_other,description_en,description_es,panel_html,citation,source,page
habeas_corpus_1934,Habeas Corpus for Arrested Workers,Habeas corpus de huelguistas arrestados,event,legal,1934_banana_strike,9,1934,1934,FALSE,,,Costa Rica,worker_arrests_1934,siquirres,TRUE,manuel_mora,poder_judicial,,Manuel Mora relies on his congressional immunity to avoid arrest and invoke habeas corpus in the Siquirres court to release workers arrested during the Banana Strike of 1934.,Manuel Mora recurre a su inmunidad legislativa para evadir el arresto y presentar recursos de habeas corpus en el Tribunal de Siquirres para liberar a los huelguistas arrestados durante la Huelga Bananera de 1934.,,,cerdas_1984,88
worker_arrests_1934,Arrest of Striking Workers,Arresto de huelguistas,event,coercion,1934_banana_strike,8,1934,1934,TRUE,-83.54,10.1,Costa Rica,,,TRUE,fuerza_publica,1934_banana_strike,,"To stop the strike of 1934, the mayor orders the police to arrest striking workers as they transit public roads.","Para detener la huelga de 1934, el Gobierno de Costa Rica ordena a la Fuerza Pública detener a los huelguistas que transiten por los caminos públicos.",,,cerdas_1984,88
police_bananas_1934_001,Police Cut and Gather Bananas,La Fuerza Pública corta y recoge el banano,event,coercion,1934_banana_strike,10,1934,1934,FALSE,,,Costa Rica,limon,26_millas,TRUE,fuerza_publica,1934_banana_strike,,Police forces are sent to cut and collect bananas to replace the workers and contain the strike.,La Fuerza Pública es enviada a cortar y recoger banano para reemplazar a los huelguistas y contener la huega.,,,cerdas_1984,88
police_bananas_1934_002,Workers Destroy Bananas,Obreros destruyen banano,event,violence,1934_banana_strike,11,1934,1934,FALSE,,,Costa Rica,26_millas,limon,TRUE,1934_banana_strike,fuerza_publica,,"Workers respond by destroying 10 hectares of bananas at  night, preventing any good bananas from reaching Limón.","Los huelguistas responden destruyendo 10 hectáreas de banano en la noche, evitando que llegue banano bueno a Limón.",,,cerdas_1984,88
fallas_deposition_1934,Deposition of Carlos Luis Fallas,Deposición de Carlos Luis Fallas,event,legal,1934_banana_strike,13,1934,1934,FALSE,,,Costa Rica,26_millas,palacio_nacional,TRUE,,,,"Carlos Luis Fallas traveled from the Atlantic zone to San José to provide testimony before the government. Appearing at the National Palace, Fallas presented a formal account of the workers' precarious living conditions, specifically citing a daily wage of ₡4 and a 50% labor incapacity rate due to endemic malaria.","Carlos Luis Fallas se trasladó desde la zona atlántica hasta San José para brindar testimonio ante el gobierno. Al comparecer en el Palacio Nacional, Fallas presentó un informe formal sobre las precarias condiciones de vida de los trabajadores, citando específicamente un salario diario de ₡4 y una tasa de incapacidad laboral del 50% debido a la malaria endémica.",,,cerdas_1984,89
palacio_nacional,Palacio Nacional (1858–1955),Palacio Nacional (1858–1955),place,state,,,1855,1958,TRUE,-84.085564,9.935447,Costa Rica,,,,,,,"Established as the primary seat of the Costa Rican State, this Neoclassical structure housed the Legislative Power and the Secretariats of State (Executive Branch). For 103 years, it functioned as the centralized administrative hub for national governance until its demolition in 1958 to facilitate the construction of the Central Bank of Costa Rica.","Establecido como la sede principal del Estado costarricense, esta estructura neoclásica albergó el Poder Legislativo y las Secretarías de Estado (Poder Ejecutivo). Durante 103 años, funcionó como el núcleo administrativo centralizado del gobierno nacional hasta su demolición en 1958 para dar paso a la construcción del Banco Central de Costa Rica.",,,,
jimenez_meetings_1934,Executive Mediation of the 1934 Banana Strike,Mediación del Poder Ejecutivo en la huelga bananera de 1934,event,mediation,1934_banana_strike,12,1934,1934,TRUE,-84.085564,9.935447,Costa Rica,,,,,,,"The Executive Power, headed by President Ricardo Jiménez Oreamuno, convened a series of consultative meetings at the National Palace to mediate the 1934 banana strike. During these sessions, the Presidency interrogated key stakeholders, including plantation owner Arturo Volio. Upon Volio’s admission of the prevailing labor conditions, the Executive formally attributed responsibility for the industrial action to the banana companies’ management practices.","El Poder Ejecutivo, encabezado por el presidente Ricardo Jiménez Oreamuno, convocó una serie de reuniones consultivas en el Palacio Nacional para mediar en la huelga bananera del Atlántico de 1934. Durante estas sesiones, la Presidencia interrogó a actores clave, incluido el finquero Arturo Volio. Tras la admisión de Volio sobre las condiciones laborales imperantes, el Ejecutivo atribuyó formalmente la responsabilidad del conflicto a las prácticas de gestión de las empresas bananeras.",,,cerdas_1984,89
santos_inspection_1934,Ministerial Site Inspection of 26 Millas,Inspección ministerial en 26 Millas,event,mediation,1934_banana_strike,13,1934,1934,FALSE,,,Costa Rica,palacio_nacional,26_millas,TRUE,,,,"The Minister of Government and Labor, Santos León Herrera, accompanied by the Chief of the Labor Section, Zayas Bazán, conducted a field inspection at the 26 Millas plantation during the absence of Carlos Luis Fallas. The visit functioned as a direct observation of the living quarters (ranchones), where the delegation encountered flooded dwellings and active cases of malaria.
The event is noted for its impact on the Minister’s legislative perspective. After witnessing the conditions and the confinement of workers, León Herrera explicitly conceded a divergence between ""legality"" and ""justice.""","El Ministro de Gobernación y Trabajo, Santos León Herrera, acompañado por el Jefe de la Sección de Trabajo, Zayas Bazán, realizó una inspección de campo en la finca 26 Millas durante la ausencia de Carlos Luis Fallas. La visita funcionó como una observación directa de los alojamientos (ranchones), donde la delegación constató viviendas inundadas y casos activos de malaria.
El evento se destaca por su impacto en la perspectiva legislativa del Ministro. Tras presenciar las condiciones y el confinamiento de los trabajadores, León Herrera admitió explícitamente una divergencia entre lo ""legal"" y lo ""justo"".",,,cerdas_1984,89
sabotage_1934,Countermanded Order of Sabotage,Contraorden de sabotaje,event,violence,1934_banana_strike,14,1934,1934,FALSE,,,Costa Rica,,,,,,,"During a period of heightened tension in the 1934 strike, Carlos Luis Fallas—acting on unverified intelligence regarding approaching authorities—issued a written order to destroy a bridge to impede troop movement. Jaime Cerdas, co-leader of the movement, disputed the decision and unilaterally issued a countermand, nullifying the sabotage order without Fallas's immediate knowledge.","Durante un periodo de alta tensión en la huelga de 1934, Carlos Luis Fallas—actuando bajo inteligencia no verificada sobre el avance de las autoridades—emitió una orden escrita para destruir un puente y así impedir el movimiento de tropas. Jaime Cerdas, codirigente del movimiento, cuestionó la decisión y emitió unilateralmente una contraorden, anulando el sabotaje sin el conocimiento inmediato de Fallas.",,,cerdas_1984,90
banana_massacre,Banana Massacre,Masacre de las bananeras,event,strike,,,1928,1928,TRUE,-74.24765,11.00703,Colombia,,,,,,,"A strike that began on November 12, 1928, results in the massacre of 47–2,000 people by the Colombian Army.",,,,,
panama_strike_1960,First Panamanian Banana Strike,Primera huelga bananera panameña,event,strike,,,1960,1960,TRUE,-79.68,9.08,Panama,,,,,,,,,,,,
panama_strike_1964,Second Panamanian Banana Strike,Segunda huelga bananera panameña,event,strike,,,1964,1964,TRUE,-82.86206,8.27775,Panama,,,,,,,,,,,,
